Name,Description,Config Key,Config Value,Config Type(System|Website|Organization|Beneficiary|Donor|Payment|Agent|Project|Post),Environment(DEV|STG|LIVE),Allow Override,Force,Published
test name test,test<br>test<br>test<br>test,test key111,test val,Project,STG,Yes,No,No
name test test,testing,testing key,testing val,Beneficiary,STG,Yes,No,Yes
vivek123,des,key,val,Beneficiary,LIVE,Yes,Yes,Yes
hi,hi test,hi key,hi val,Beneficiary,STG,No,Yes,No
jhkjh,jhkjhk,hjkhjk,jhkjhkjh,Organization,STG,Yes,No,Yes
test,test,test,test,System,STG,Yes,Yes,Yes
test name test,test des,test key,test val,Beneficiary,STG,No,Yes,Yes
jh,gfh,c k,cv,System,STG,Yes,Yes,Yes
jh,dsf,sdf,df,System,STG,Yes,Yes,Yes
,sdf,,,,,,,
,dsf,,,,,,,
,dsf,,,,,,,
,dsf,,,,,,,
,dsf,,,,,,,
,dsf,,,,,,,
